1000 5506
1 254 1
1 460 1
1 48 1
1 726 1
2 254 1
2 3 1
2 971 1
3 13 1
3 180 1
3 253 1
3 573 1
3 585 1
4 154 1
4 254 1
4 270 1
4 529 1
5 254 1
5 429 1
5 7 1
5 766 1
5 974 1
5 994 1
6 37 1
6 523 1
6 930 1
7 258 1
7 485 1
7 581 1
7 77 1
7 894 1
8 157 1
8 186 1
8 30 1
8 307 1
8 340 1
8 759 1
8 856 1
9 248 1
9 346 1
9 421 1
9 468 1
9 521 1
9 526 1
9 631 1
9 836 1
9 844 1
9 980 1
10 214 1
10 65 1
10 716 1
10 808 1
10 942 1
10 998 1
11 245 1
11 254 1
11 479 1
11 990 1
12 25 1
12 303 1
12 5 1
12 58 1
12 696 1
13 169 1
13 19 1
13 274 1
13 487 1
13 530 1
13 616 1
13 657 1
13 683 1
13 911 1
14 23 1
14 540 1
14 990 1
14 993 1
15 151 1
15 25 1
15 365 1
15 805 1
16 127 1
16 13 1
16 227 1
16 254 1
16 411 1
16 663 1
16 73 1
16 877 1
17 222 1
17 254 1
17 810 1
17 819 1
18 254 1
18 29 1
18 508 1
18 566 1
18 70 1
19 354 1
19 4 1
19 793 1
19 816 1
19 829 1
19 920 1
20 109 1
20 11 1
20 254 1
20 325 1
20 329 1
20 399 1
20 451 1
20 620 1
20 635 1
20 849 1
21 477 1
21 674 1
21 850 1
21 886 1
21 987 1
21 999 1
22 347 1
22 744 1
22 763 1
22 780 1
22 990 1
23 337 1
23 412 1
23 448 1
23 680 1
23 70 1
23 75 1
23 903 1
24 254 1
24 324 1
24 402 1
24 425 1
25 183 1
25 254 1
25 481 1
25 571 1
25 70 1
25 705 1
25 768 1
25 979 1
26 224 1
26 463 1
26 652 1
26 729 1
26 955 1
26 974 1
27 21 1
27 254 1
27 793 1
27 974 1
28 427 1
28 653 1
28 974 1
29 205 1
29 254 1
29 286 1
29 720 1
29 924 1
30 163 1
30 219 1
30 254 1
30 432 1
30 552 1
30 790 1
31 257 1
31 408 1
31 559 1
31 618 1
32 662 1
32 726 1
32 995 1
33 420 1
33 974 1
34 106 1
34 974 1
34 996 1
35 240 1
35 38 1
35 70 1
35 900 1
36 130 1
36 254 1
36 461 1
36 570 1
36 860 1
37 366 1
37 490 1
37 569 1
37 630 1
37 733 1
37 850 1
38 184 1
38 310 1
38 482 1
38 552 1
39 160 1
39 338 1
39 557 1
39 909 1
40 155 1
40 254 1
40 664 1
40 974 1
41 254 1
41 375 1
41 739 1
41 966 1
42 254 1
42 884 1
42 959 1
43 103 1
43 334 1
43 411 1
43 527 1
43 767 1
43 837 1
44 210 1
44 254 1
44 486 1
44 542 1
44 574 1
44 747 1
44 76 1
45 105 1
45 169 1
45 387 1
45 528 1
46 254 1
46 328 1
46 586 1
46 645 1
47 235 1
47 254 1
47 465 1
48 202 1
48 675 1
48 808 1
48 974 1
49 101 1
49 218 1
49 415 1
49 820 1
49 880 1
49 904 1
49 912 1
49 974 1
50 213 1
50 585 1
50 806 1
